country3,icao,iata,lat,lon
CAN,CYOD,,54.405278,-110.282222
CAN,CWMX,WMX,57.04,-111.56
CAN,CWRY,WRY,49.13,-112.05
CAN,,PRR,49.28,-112.54
CAN,CXMO,XMO,51.66,-112.68
CAN,,PML,50.67,-113.35
CAN,CZMU,ZMU,53.57,-112.3
CAN,,PMN,53.72,-111.11
CAN,CWNR,WNR,50.94,-115.19
CAN,,NNR,51.37,-114.1
CAN,,PNS,53.26,-113.17
CAN,CXND,XND,52.49,-116.04
CAN,CXOL,XOL,51.76,-114.08
CAN,CZOL,ZOL,53.65,-113.35
CAN,CWOE,WOE,49.12,-110.47
CAN,CXOY,XOY,51.38,-110.35
CAN,,PPL,49.22,-111.13
CAN,CYPE,YPE,56.22694444,-117.4472222
CAN,,NPK,50.37,-114.42
CAN,CXPA,XPA,55.62,-118.29
CAN,CZPC,ZPC,49.520431,-113.996156
CAN,CXPL,XPL,51.13,-111.71
CAN,CXPV,XPV,58.63,-111.68
CAN,CZPS,ZPS,52.43,-113.6
CAN,,PRD,50.8692,-114.2917
CAN,CWOU,WOU,54.7889,-110.0597
CAN,CWIQ,WIQ,54.75,-110.05
CAN,,PQU,50.5978,-112.8033
CAN,,PRW,54.0,-112.88
CAN,CYOP,,58.491094,-119.406642
CAN,,PRY,49.48,-112.68
CAN,CYQF,YQF,52.17861111,-113.8930556
CAN,CWRD,WRD,56.55,-115.28
CAN,,PRS,52.5869,-110.3428
CAN,CXRL,XRL,54.5,-111.7
CAN,,PRA,53.01888889,-110.1019444
CAN,CWRM,WRM,52.42,-114.91
CAN,CYRM,YRM,52.429683,-114.904236
CAN,,PRH,50.27,-111.7
CAN,,PRL,52.78,-112.43
CAN,,PRO,50.83,-112.05
CAN,,PRF,55.78,-118.67
CAN,,PSW,56.08,-119.34
CAN,CXBU,XBU,50.3125,-110.1956
CAN,CXSC,XSC,50.31,-110.09
CAN,,PSA,51.59,-110.75
CAN,,PSV,49.92,-110.92
CAN,CZZH,ZZH,55.2833,-114.7833
CAN,CYZH,YZH,55.29305556,-114.7772222
CAN,CXSL,XSL,54.28,-112.5
CAN,CWSH,WSH,58.5914,-118.4931
CAN,CXSR,XSR,55.69,-119.23
CAN,CWWW,WWW,55.6925,119.23
CAN,,PSP,51.82,-111.68
CAN,,PSL,54.28,-111.45
CAN,CXSP,XSP,54.01,-111.27
CAN,,PMR,49.36,-113.11
CAN,,PSD,51.22833333,-112.9819444
CAN,CWXN,WXN,50.18,-113.88
CAN,CXAK,XAK,52.35,-112.6
CAN,CXSM,XSM,51.2063,-113.3991
CAN,,PST,51.03,-113.28
CAN,CYSD,YSD,50.27,-111.18
CAN,CWAV,WAV,51.78,-114.68
CAN,CWAA,WAA,54.6667,-115.4167
CAN,,PTA,54.3,-113.52
CAN,,PTC,55.35,-118.41
CAN,,PTH,53.22,-113.89
CAN,CWHI,WHI,51.77,-113.21
CAN,,NTK,53.44,-114.72
CAN,,PTR,50.3,-112.86
CAN,,PTU,53.66,-110.08
CAN,CWQA,WQA,49.5833,-114.4167
CAN,CXTH,XTH,53.63,-111.68
CAN,CXVW,XVW,55.1,-117.2
CAN,CWVO,WVO,50.05,-112.13
CAN,CWVI,WVI,53.51,-112.1
CAN,CXVM,XVM,53.34,-110.88
CAN,CYVG,YVG,53.356869,-110.824828
CAN,,PVI,54.13,-111.92
CAN,CXVG,XVG,53.14,-115.13
CAN,CWUN,WUN,50.4,-113.3833
CAN,CYWV,YWV,52.796581,-110.858592
CAN,CZWN,ZWN,52.83,-111.1
CAN,CWGM,WGM,49.13,-113.81
CAN,CWWT,WWT,49.1333,-113.8
CAN,CXZU,XZU,54.1397,-115.7839
CAN,CYZU,YZU,54.14388889,-115.7866667
CAN,CWWO,WWO,53.39,-118.35
CAN,,PWB,51.94,-113.59
CAN,CXWM,XWM,49.5,-112.12
CAN,CWBB,,63.515972,-162.278
CAN,CZML,ZML,51.736039,-121.332683
CAN,CYXX,YXX,49.02527778,-122.36
CAN,CWCZ,WCZ,51.6,-127.8667
CAN,CWZH,WZH,51.6035,-127.8639
CAN,CWZA,WZA,49.24,-121.76
CAN,CWUJ,WUJ,49.0166,-122.4873
CAN,CYAL,YAL,50.582319,-126.915786
CAN,CYJZ,,49.1333,-120.8333
CAN,CWAN,WAN,48.9211,-125.54
CAN,CYZA,YZA,50.70833333,-121.2813889
CAN,CYSQ,YSQ,59.576442,-133.671372
CAN,,EY5,59.583,-133.667
CAN,CWGB,WGB,49.35,-124.16
CAN,CYZC,YZC,57.3833,-121.3833
CAN,CBBC,BBC,52.185125,-128.156792
CAN,CYJQ,YJQ,52.139722,-128.063611
CAN,CYBD,YBD,52.3875,-126.595833
CAN,CWBG,WBG,51.26,-123.09
CAN,CVOI,VOI,50.1,-122.94
CAN,CVOC,VOC,50.13,-122.95
CAN,CYIN,,51.266314,-121.684656
CAN,CWSV,WSV,52.129,-119.2895
CAN,CYCP,YCP,52.11666667,-119.2833333
CAN,CWZM,WZM,52.6431,-128.5242
CAN,CWZP,WZP,52.65,-128.5167
CAN,,BW4,56.9668,-130.25
CAN,CWWL,WWL,53.49,-130.64
CAN,CWVB,WVB,53.4928,-130.6378
CAN,CZBB,ZBB,49.073469,-123.008397
CAN,CWPZ,WPZ,54.2333,-125.7667
CAN,CYPZ,,54.38333333,-125.9586111
CAN,CVOD,VOD,50.1442,-123.1092
CAN,CVOY,VOY,50.1472,-123.1156
CAN,CVOF,VOF,50.0089,-123.1186
CAN,CVOK,VOK,50.1428,-123.1064
CAN,CVOV,VOV,50.1397,-123.1169
CAN,CVOW,VOW,50.1375,-123.11
CAN,CVOX,VOX,50.1368,-123.1131
CAN,CYBL,YBL,49.952042,-125.273053
CAN,CWAD,WAD,49.9983,-125.195
CAN,CWYA,WYA,50.0,-125.2
CAN,CWES,WES,50.7822,-128.4272
CAN,CWZV,WZV,51.94,-131.02
CAN,CWUC,WUC,48.6167,-124.75
CAN,,YXO,49.5,-119.0833
CAN,,AU9,59.283,-129.833
CAN,CYCG,YCG,49.296225,-117.632506
CAN,CWME,WME,52.19,-127.47
CAN,CWFM,WFM,50.3333,-125.4333
CAN,CYCQ,YCQ,55.687217,-121.62665
CAN,CYCW,YCW,49.153194,-121.939056
CAN,CWOG,WOG,49.4667,-124.6833
CAN,CWCL,WCL,51.14,-121.5
CAN,CYQQ,YQQ,49.71666667,-124.9
CAN,CYXC,YXC,49.61222222,-115.7819444
CAN,CWJR,WJR,49.08,-116.5
CAN,CWZL,WZL,53.03,-131.6
CAN,CVOZ,VOZ,49.39,-123.21
CAN,CVWG,VWG,49.3956,-123.2061
CAN,CVOE,VOE,49.4019,-123.2075
CAN,CVOG,VOG,49.3787,-123.194
CAN,CVDQ,VDQ,55.7417,-120.1819
CAN,CYDQ,YDQ,55.74222222,-120.1830556
CAN,CWDL,WDL,58.4283,-130.0106
CAN,CYDL,YDL,58.422311,-130.031506
CAN,CWDR,WDR,48.42,-123.23
CAN,CWAU,WAU,52.185,-128.1122
CAN,CWKY,WKY,52.1833,-128.1167
CAN,CWEM,WEM,51.2472,-127.8354
CAN,CWEL,WEL,49.21,-123.81
CAN,CWEB,WEB,49.38,-126.54
CAN,CWTC,WTC,53.05,-129.6833
CAN,CYCZ,YCZ,50.330164,-115.873453
CAN,CXFA,XFA,50.45,-125.99
CAN,CWFS,WFS,49.8719,-118.0675
CAN,CVFN,VFN,58.8364,-122.5972
CAN,CYYE,YYE,58.8364,-122.5972
CAN,CYJM,YJM,54.398056,-124.264722
CAN,CYXJ,YXJ,56.23805556,-120.7402778
CAN,CWGE,WGE,51.2983,-116.9817
CAN,CYGE,YGE,51.299186,-116.982122
CAN,CZGF,ZGF,49.015628,-118.430464
CAN,CWNJ,WNJ,54.5686,-130.7083
CAN,CWUA,WUA,54.5667,-130.7
CAN,CWEK,WEK,54.58,-130.7
CAN,CWKA,WKA,49.8046,-124.5252
CAN,CWXM,WXM,50.4,-125.8667
CAN,CWLP,WLP,50.94,-127.63
CAN,CWHJ,WHJ,50.65,-128.05
CAN,CWXH,WXH,50.6333,-128.1167
CAN,CWHL,WHL,54.17,-130.36
CAN,CYHE,YHE,49.36972222,-121.4936111
CAN,CWKV,WKV,49.275,-121.2364
CAN,CWHF,WHF,49.3667,-121.4833
CAN,CZHE,ZHE,49.3667,-121.4833
CAN,CWFR,WFR,52.0047,-121.0008
CAN,CWZK,WZK,52.5333,-131.55
CAN,CYCJ,YCJ,52.533,-131.55
CAN,CYNH,YNH,56.035556,-121.975833
CAN,CWIO,WIO,56.73,-131.67
CAN,CWJG,WJG,52.2697,-128.4067
CAN,CZKA,ZKA,50.7022,-120.4419
CAN,CYKA,YKA,50.70222222,-120.4419444
CAN,CWLW,WLW,49.96,-119.38
CAN,CZLW,ZLW,49.9561,-119.3778
CAN,CYLW,YLW,49.957211,-119.377919
CAN,CWZO,WZO,48.5478,-123.2356
CAN,CWQS,WQS,53.32,-132.77
CAN,CWKI,WKI,54.05,-128.6833
CAN,CZKI,ZKI,54.05,-128.6833
CAN,CWLA,WLA,54.26,-133.06
CAN,CWJU,WJU,54.26,-133.06
CAN,CYNJ,YNJ,49.100944,-122.630736
CAN,CYQL,YQL,49.630231,-112.799697
CAN,CYZL,YZL,59.45,-126.15
CAN,CWKF,WKF,50.68,-121.93
CAN,CYLI,,50.674722,-121.893611
CAN,CWBX,WBX,59.4167,-126.1
CAN,CWLC,WLC,54.29583333,-130.6088889
CAN,CWLY,WLY,50.2244,-121.5819
CAN,CYLY,YLY,50.2244,-121.5819
CAN,CZLY,ZLY,50.2244,-121.5819
CAN,CVLS,VLS,50.2244,-121.5819
CAN,CVLY,VLY,50.2244,-121.5819
CAN,CYZY,YZY,55.30527778,-123.1380556
CAN,CWKH,WKH,48.57,-123.53
CAN,CZMT,ZMT,54.027108,-132.125081
CAN,CWMA,WMA,54.0272,-132.125
CAN,CWMS,WMS,52.26,-128.72
CAN,CWMY,WMY,49.47,-123.92
CAN,CXSI,XSI,48.861,-123.7565
CAN,CVOJ,VOJ,49.7467,-125.2872
CAN,,BS4,59.783,-136.583
CAN,CWWQ,WWQ,58.93,-125.77
CAN,CWNP,WNP,50.27,-117.82
CAN,CWNA,WNA,49.1667,-123.9333
CAN,CYCD,YCD,49.054544,-123.870119
CAN,CWCB,WCB,53.8333,-128.8317
CAN,CWNX,WNX,53.68,-124.83
CAN,CWNM,WNM,49.49,-117.31
CAN,CZNL,ZNL,49.494167,-117.300556
CAN,CWAC,WAC,48.6667,-124.8333
CAN,CWCV,WCV,49.6,-126.6167
CAN,CVOO,VOO,48.82,-123.72
CAN,CYOG,,49.15,-117.9167
CAN,CVSL,VSL,53.77,-126.0
CAN,CWYY,WYY,49.03,-119.44
CAN,,4YP,50.0,-145.0
CAN,CWAS,WAS,49.49,-123.3
CAN,CWPW,WPW,49.7833,-119.7333
CAN,CWGP,WGP,50.31,-122.73
CAN,CYTO,YTO,50.3025,-122.7378
CAN,CYPS,YPS,50.3025,-122.737778
CAN,CWPN,WPN,50.3022,-122.7381
CAN,CYYF,YYF,49.4625,-119.6022222
CAN,CWPI,WPI,50.9758,-127.7281
CAN,CWMM,WMM,49.21,-122.69
CAN,CYPK,YPK,49.216117,-122.713331
CAN,CWSB,WSB,49.33,-123.26
CAN,CWCC,WCC,52.0667,-127.95
CAN,CYPB,YPB,49.25,-124.8333
CAN,CWQC,WQC,49.3167,-124.9264
CAN,CYZT,YZT,50.685,-127.3758333
CAN,CVOM,VOM,49.53,-123.5
CAN,CVOP,VOP,49.83,-124.5
CAN,CYPW,YPW,49.834081,-124.500342
CAN,CZXS,ZXS,53.9,-122.7901
CAN,CYXS,YXS,53.88416667,-122.6775
CAN,CVXS,VXS,53.89,-122.67
CAN,CXPG,XPG,53.6131,-122.9544
CAN,CZSW,ZSW,54.3322,-130.2753
CAN,CYPR,YPR,54.285892,-130.444678
CAN,CZPR,ZPR,54.29,-130.44
CAN,CVPT,VPT,54.29,-130.44
CAN,CWPR,WPR,49.4675,-120.5119
CAN,CYDC,YDC,49.467886,-120.512475
CAN,CWKT,WKT,50.6333,-127.15
CAN,CWPU,WPU,52.11,-124.14
CAN,CYPU,YPU,52.112833,-124.144767
CAN,CVOQ,VOQ,49.34,-124.39
CAN,CWIF,WIF,50.4411,-128.0325
CAN,CWQZ,WQZ,53.0333,-122.5167
CAN,CVQZ,VQZ,53.03,-122.51
CAN,CYQZ,YQZ,53.02611111,-122.51
CAN,CWQK,WQK,48.3,-123.53
CAN,CZRV,ZRV,50.9611,-118.1833
